,Page_Number,Search_Result_Number,Search_Result_Title,Search_Result_URL,Search_Result_Description
0,1,1,Python Tutorial - Tutorialspoint,https://www.tutorialspoint.com/python/index.htm,"Python Tutorial - Python is a general-purpose interpreted, interactive, object-oriented, and high-level programming language. It was created by Guido van ..."
1,1,2,The Python Tutorial — Python 3.9.2 documentation,https://docs.python.org/3/tutorial/,"The Python Tutorial¶. Python is an easy to learn, powerful programming language. It has efficient high-level data structures and a simple but effective approach ..."
2,1,3,Python Tutorial - W3Schools,https://www.w3schools.com/python/,"Well organized and easy to understand Web building tutorials with lots of examples of how to use HTML, CSS, JavaScript, SQL, PHP, Python, Bootstrap, Java ..."
3,1,4,Python 3 Tutorial - Learn Python in 30 Minutes. - Programiz,https://www.programiz.com/python-programming/tutorial,"Tuples. Tuple is similar to a list except you cannot change elements of a tuple once it is defined. Whereas in a list, items can be modified. Basically, list is mutable ..."
4,1,5,Learn Python Programming - Programiz,https://www.programiz.com/python-programming,Python is a powerful general-purpose programming language. Our Python tutorial will guide you to learn Python one step at a time with the help of examples.
5,1,6,Real Python: Python Tutorials,https://realpython.com/,"Learn Python online: Python tutorials for developers of all skill levels, Python books and courses, Python news, code examples, articles, and more."
6,1,7,Learn Python Tutorial - javatpoint,https://www.javatpoint.com/python-tutorial,Python Tuple. Python Tuple is used to store the sequence of immutable Python objects. The tuple is similar to lists since the value of the items stored in the ...
7,1,8,Learn Python - Free Interactive Python Tutorial,https://www.learnpython.org/,"learnpython.org is a free interactive Python tutorial for people who want to learn Python, fast."
8,1,9,Python Tutorial for Beginners: Learn Programming Basics [PDF],https://www.guru99.com/python-tutorials.html,25-Feb-2021 — Python tutorial for beginners: Who want to learn Python programming language from basic to advanced concepts. Learn here free Python ...
9,2,10,Python Tutorial - Python for Beginners [Full Course] - YouTube,https://www.youtube.com/watch?v=_uQrJ0TkZlc,Python tutorial - Python for beginners - Go from Zero to Hero with Python (includes machine learning & web ...
